"MEASURE","Measure","PROP_TYPE","Property type","ASGS_2011","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"1","Index Number","1","Attached dwellings","6GHOB","Greater Hobart","Q","Quarterly","2019-Q2","Jun-2019",149.9,,
"1","Index Number","1","Attached dwellings","6GHOB","Greater Hobart","Q","Quarterly","2019-Q3","Sep-2019",150,,
"1","Index Number","1","Attached dwellings","6GHOB","Greater Hobart","Q","Quarterly","2019-Q4","Dec-2019",155.2,,
"1","Index Number","1","Attached dwellings","6GHOB","Greater Hobart","Q","Quarterly","2020-Q1","Mar-2020",158.9,,
"1","Index Number","1","Attached dwellings","6GHOB","Greater Hobart","Q","Quarterly","2020-Q2","Jun-2020",158.2,"i","imputed"
"1","Index Number","1","Attached dwellings","6GHOB","Greater Hobart","Q","Quarterly","2020-Q3","Sep-2020",159.6,,
"1","Index Number","1","Attached dwellings","6GHOB","Greater Hobart","Q","Quarterly","2020-Q4","Dec-2020",164.5,,
"2","Percentage change from previous quarter","2","Established houses","4GADE","Greater Adelaide","Q","Quarterly","2019-Q1","Mar-2019",-0.2,,
"2","Percentage change from previous quarter","2","Established houses","4GADE","Greater Adelaide","Q","Quarterly","2019-Q2","Jun-2019",-0.7,,
"2","Percentage change from previous quarter","2","Established houses","4GADE","Greater Adelaide","Q","Quarterly","2019-Q3","Sep-2019",-0.3,,
"2","Percentage change from previous quarter","2","Established houses","4GADE","Greater Adelaide","Q","Quarterly","2019-Q4","Dec-2019",1.6,,
"2","Percentage change from previous quarter","2","Established houses","4GADE","Greater Adelaide","Q","Quarterly","2020-Q1","Mar-2020",0.4,,
"2","Percentage change from previous quarter","2","Established houses","4GADE","Greater Adelaide","Q","Quarterly","2020-Q2","Jun-2020",-1,,
"2","Percentage change from previous quarter","2","Established houses","4GADE","Greater Adelaide","Q","Quarterly","2020-Q3","Sep-2020",1.9,,
"2","Percentage change from previous quarter","2","Established houses","4GADE","Greater Adelaide","Q","Quarterly","2020-Q4","Dec-2020",2.6,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","7GDAR","Greater Darwin","Q","Quarterly","2019-Q1","Mar-2019",-4.2,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","7GDAR","Greater Darwin","Q","Quarterly","2019-Q2","Jun-2019",-5,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","7GDAR","Greater Darwin","Q","Quarterly","2019-Q3","Sep-2019",-5.4,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","7GDAR","Greater Darwin","Q","Quarterly","2019-Q4","Dec-2019",-5.5,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","7GDAR","Greater Darwin","Q","Quarterly","2020-Q1","Mar-2020",-3.1,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","7GDAR","Greater Darwin","Q","Quarterly","2020-Q2","Jun-2020",-2.7,,
